,abundance_universe,abundance_solar,abundance_meteor,abundance_crust,abundance_ocean,abundance_human,boiling_point,critical_pressure,critical_temperature,density_stp,conductivity_thermal,electron_affinity,electronegativity_pauling,heat_specific,heat_vaporization,heat_fusion,heat_molar,magnetic_susceptibility_mass,magnetic_susceptibility_molar,magnetic_susceptibility_volume,melting_point,molar_volume,neutron_cross_section,neutron_mass_absorption,radius_calculated,radius_empirical,radius_covalent,radius_vanderwaals,refractive_index,speed_of_sound,conductivity_electric,electrical_resistivity,modulus_bulk,modulus_shear,modulus_young,poisson_ratio,coefficient_of_linear_thermal_expansion,hardness_vickers,hardness_brinell,hardness_mohs,superconduction_temperature
0,75.0,75.0,2.4,0.15,11.0,10.0,20.271,1.293,32.97,0.0899,0.1805,72.769,2.2,14300.0,0.452,0.558,28.836,-2.48e-08,-5e-11,-2.23e-09,13.99,0.01121,0.332,0.011,53.0,25.0,37.0,1.1,1.000132,1270.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23.0,23.0,0.0074750413,5.5e-07,7.2e-10,0.015490766,4.222,0.227,5.19,0.1785,0.1513,-48.0,0.0,5193.1,0.083,0.02,11.293489,-5.9e-09,-2.36e-11,-1.05e-09,0.95,0.022424,0.007,1e-05,31.0,34.929688,32.0,1.4,1.000035,970.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6e-07,6e-09,0.00017,0.0017,1.8e-05,3e-06,1603.0,67.0,3223.0,535.0,85.0,59.6326,0.98,3570.0,147.0,3.0,24.86,2.56e-08,1.78e-10,1.37e-05,453.65,1.3e-05,71.0,0.006594186,167.0,145.0,134.0,1.82,1.4246688,6000.0,11.0,9.4e-08,11.0,4.2,4.9,0.072411045,4.6e-05,834.15845,200.22998,0.6,0.0
3,1e-07,1e-08,2.9e-06,0.00019,6e-11,4e-08,2742.0,46.764305,2266.6362,1848.0,190.0,-48.0,1.57,1820.0,297.0,7.95,16.443,-1.26e-08,-1.14e-10,-2.33e-05,1560.0,4.88e-06,0.0092,3e-05,112.0,105.0,90.0,1.53,1.4349976,13000.0,25.0,4e-08,130.0,132.0,287.0,0.032,1.13e-05,1670.0,600.0,5.5,0.026
4,1e-07,2e-07,0.00016,0.00086,0.00044,7e-05,4200.0,37.460884,1557.2206,2460.0,27.0,26.989,2.04,1030.0,507.0,50.0,11.087,-8.7e-09,-9.41e-11,-2.14e-05,2349.0,4.39e-06,760.0,2.4,87.0,85.0,82.0,1.92,1.7319748,16200.0,1e-10,10000.0,320.0,60.278126,135.44606,0.15114832,6e-06,49000.0,345.76764,9.3,0.0
5,0.5,0.3,1.5,0.18,0.0028,23.0,4300.0,24.679646,931.3436,2260.0,140.0,121.7763,2.55,710.0,715.0,105.0,8.517,-6.2e-09,-7.45e-11,-1.4e-05,3823.0,5.31e-06,0.0035,1.5e-05,67.0,70.0,77.0,1.7,2.417,18350.0,0.1,1e-05,33.0,26.317726,58.716415,0.11833613,7.1e-06,18229.625,225.12679,0.5,0.0
6,0.1,0.1,0.14,0.002,5e-05,2.6,77.355,3.39,126.21,1.251,0.02583,-6.8,3.04,1040.0,2.79,0.36,15.791405,-5.4e-09,-1.5e-10,-6.8e-09,63.15,0.011197,1.91,0.0048,56.0,65.0,75.0,1.55,1.000298,333.6,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.9,40.0,46.0,86.0,61.0,90.188,5.043,154.59,1.429,0.02658,140.976,3.44,919.0,3.41,0.222,18.239132,1.34e-06,4.27e-08,1.91e-06,54.36,0.011196,0.00028,1e-06,48.0,60.0,73.0,1.52,1.000271,317.5,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4e-05,5e-05,0.0087,0.054,0.00013,0.0037,85.03,5.172,144.13,1.696,0.0277,328.1649,3.98,824.0,3.27,0.26,19.262217,4.4322155e-07,1.4058253e-08,6.2876825e-07,53.48,0.011202,0.0096,2e-05,42.0,50.0,71.0,1.47,1.000195,477.30038,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.13,0.1,0.012947159,3e-07,1.2e-08,0.026830817,27.104,2.76,44.4,0.9,0.0491,-116.0,0.0,1030.0,1.75,0.34,19.607857,-4.1e-09,-8.27e-11,-3.69e-09,24.56,0.02242,0.04,0.00059,38.0,60.499992,69.0,1.54,1.000067,936.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.002,0.004,0.55,2.3,1.1,0.14,1156.09,35.0,2573.0,968.0,140.0,52.867,0.93,1230.0,97.7,2.6,28.23,8.8e-09,2e-10,8.6e-06,370.944,2.38e-05,0.53,0.0007,190.0,180.0,154.0,2.27,1.1203773,3200.0,21.0,4.7e-08,6.3,3.3,10.0,0.18523337,7e-05,832.90234,0.69,0.5,0.0
11,0.06,0.07,12.0,2.9,0.13,0.027,1363.0,41.411804,2335.2869,1738.0,160.0,-40.0,1.31,1020.0,128.0,8.7,24.869,6.9e-09,1.68e-10,1.2e-05,923.0,1.4e-05,0.063,1e-04,145.0,150.0,130.0,1.73,1.3272692,4602.0,23.0,4.4e-08,45.0,17.0,45.0,0.29,2.48e-05,1002.5542,260.0,2.5,0.0
12,0.005,0.006,0.91,8.1,5e-07,9e-05,2743.0,48.027245,1713.7642,2700.0,235.0,41.762,1.61,904.0,293.0,10.7,24.2,7.8e-09,2.1e-10,2.11e-05,933.47,9.99e-06,0.233,0.03,118.0,125.0,118.0,1.84,1.5620995,5100.0,38.0,2.6e-08,76.0,26.0,70.0,0.35,2.31e-05,167.0,245.0,2.75,1.175
13,0.07,0.09,14.0,27.0,1e-04,0.026,3538.0,38.36078,1285.2256,2330.0,150.0,134.0684,1.9,710.0,359.0,50.2,19.789,-1.6e-09,-4.49e-11,-3.73e-06,1687.0,1.21e-05,0.166,0.0002,111.0,110.0,111.0,2.1,1.6519344,2200.0,0.001,0.001,100.0,21.564098,47.0,0.23539747,2.6e-06,6571.8716,380.604,6.5,0.0
14,0.0007,0.0007,0.11,0.099,7e-06,1.1,553.6,25.204662,1022.3406,1823.0,0.236,72.037,2.19,769.7,12.4,0.64,23.824,-1.13e-08,-3.5e-10,-2.06e-05,317.3,1.7e-05,0.18,0.0002,98.0,100.0,106.0,1.8,1.001212,1888.1035,10.0,1e-07,11.0,9.568247,15.333333,0.15723695,2.542154e-06,2297.0627,534.56104,3.0,0.0
15,0.05,0.04,4.0,0.042,0.093,0.2,717.8,20.7,1314.0,1960.0,0.205,200.4101,2.58,705.0,9.8,1.73,22.75,-6.2e-09,-1.99e-10,-1.22e-05,388.36,1.64e-05,0.52,0.00055,88.0,100.0,102.0,1.8,1.001111,1452.6802,1e-21,1000000000000000.0,7.7,3.3170617,6.333333,0.12180922,1.659326e-06,808.48816,317.64026,2.0,0.0
16,1e-04,0.0008,0.037,0.017,2.0,0.12,239.11,7.991,416.9,3.214,0.0089,348.575,3.16,478.2,10.2,3.2,23.126732,-7.2e-09,-5.11e-10,-2.31e-08,171.6,0.01103,35.3,0.033,79.0,100.0,99.0,1.75,1.000773,206.0,1e-08,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.02,0.007,0.017194329,0.00015,4.5e-05,0.049961664,87.302,4.898,150.87,1.784,0.01772,-96.0,0.0,520.33,6.5,1.18,20.12755,-6e-09,-2.4e-10,-1.07e-08,83.81,0.022392,0.66,0.00059,71.0,71.0,97.0,1.88,1.000281,319.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0003,0.0004,0.07,1.5,0.042,0.2,1032.0,16.0,2223.0,856.0,100.0,48.383,0.82,757.0,76.9,2.33,29.6,6.7e-09,2.62e-10,5.74e-06,336.7,4.57e-05,2.1,0.0018,243.0,220.0,196.0,2.75,0.7884609,2000.0,14.0,7e-08,3.1,1.3,9.906836,0.23214656,3.855303e-05,797.3738,0.363,0.4,0.0
19,0.007,0.007,1.1,5.0,0.00042,1.4,1757.0,24.035954,2053.243,1550.0,200.0,2.37,1.0,631.0,155.0,8.54,25.929,1.38e-08,5.53e-10,2.14e-05,1115.0,2.59e-05,0.43,0.00037,194.0,180.0,174.0,2.31,0.83038986,3810.0,29.0,3.4e-08,17.0,7.4,20.0,0.31,2.23e-05,954.23926,167.0,1.75,0.0
20,3e-06,4e-06,0.00064,0.0026,1.5e-10,0.5059665,3109.0,16.451233,1248.8087,2985.0,16.0,18.0,1.36,567.0,318.0,16.0,25.52,8.8e-08,3.96e-09,0.0002627,1814.0,1.51e-05,27.2,0.025,184.0,160.0,144.0,2.15,0.45628875,3432.48,1.8,5.5e-07,57.0,29.0,74.0,0.28,1.02e-05,884.149,750.0,3.5879703,0.05
21,0.0003,0.0004,0.054,0.66,1e-07,0.16865793,3560.0,16.177683,915.0049,4507.0,22.0,7.289,1.54,520.0,425.0,18.7,25.06,4.01e-08,1.92e-09,0.0001807,1941.0,1.06e-05,6.1,0.0044,176.0,140.0,136.0,2.11,0.3357897,4140.0,2.5,4e-07,110.0,44.0,116.0,0.32,8.6e-06,970.0,716.0,6.0,0.4
22,1e-04,4e-05,0.0061,0.019,1.5e-07,3e-06,3680.0,17.866203,710.48694,6110.0,31.0,50.911,1.63,489.0,453.0,22.8,24.89,6.28e-08,3.2e-09,0.0003837,2183.0,8.34e-06,5.06,0.0033,171.0,135.0,125.0,2.07,0.2750265,4560.0,5.0,2e-07,160.0,47.0,128.0,0.37,8.4e-06,628.0,628.0,7.0,5.4
23,0.0015,0.002,0.3,0.014,6e-08,3e-06,2944.0,23.099058,611.9623,7190.0,94.0,65.21,1.66,448.0,339.0,20.5,23.35,4.45e-08,2.31e-09,0.0003177,2180.0,7.23e-06,3.1,0.0021,166.0,140.0,127.0,2.06,0.28027195,5940.0,7.9,1.3e-07,160.0,115.0,279.0,0.21,4.9e-06,1060.0,1120.0,8.5,0.0
24,0.0008,0.001,0.27,0.11,2e-07,2e-05,2334.0,29.647,578.5039,7470.0,7.8,-50.0,1.55,479.0,220.0,13.2,26.32,1.21e-07,6.65e-09,0.00090387,1519.0,7.35e-06,13.3,0.0083,161.0,140.0,139.0,2.05,0.31000993,5150.0,0.62,1.6e-06,120.0,108.717995,198.0,0.25346208,2.17e-05,1026.9456,196.0,6.0,0.0
25,0.11,0.1,22.0,6.3,3e-07,0.006,3134.0,40.051945,623.444,7874.0,80.0,14.785,1.83,449.0,347.0,13.8,25.1,5.2223925e-08,3.1723273e-09,0.00041949746,1811.0,7.09e-06,2.56,0.0015,156.0,140.0,125.0,2.04,0.38925195,4910.0,10.0,9.7e-08,170.0,82.0,211.0,0.29,1.18e-05,608.0,490.0,4.0,0.0
26,0.0003,0.0004,0.059,0.003,8e-09,2e-06,3200.0,51.040146,709.3154,8900.0,100.0,63.898,1.88,421.0,375.0,16.2,24.81,3.0977933e-08,2.3924005e-09,0.00029659874,1768.0,6.62e-06,37.2,0.021,152.0,135.0,126.0,2.0,0.486647,4720.0,17.0,6e-08,180.0,75.0,209.0,0.31,1.3e-05,1043.0,700.0,5.0,0.0
27,0.006,0.008,1.3,0.0089,2e-07,1e-05,3003.0,64.247246,852.79254,8908.0,91.0,111.65,1.91,445.0,378.0,17.2,26.07,2.8931932e-08,2.7924394e-09,0.00032368075,1728.0,6.59e-06,4.5,0.0026,149.0,135.0,121.0,1.97,0.6253677,4970.0,14.0,7e-08,180.0,76.0,200.0,0.31,1.34e-05,638.0,700.0,4.0,0.0
28,6e-06,7e-05,0.011,0.0068,3e-07,1e-04,2835.0,74.11821,1005.917,8960.0,400.0,119.235,1.9,384.4,300.0,13.1,24.44,-1.08e-09,-6.86e-11,-9.63e-06,1357.77,7.09e-06,3.78,0.0021,145.0,135.0,138.0,1.96,0.7880335,3570.0,59.0,1.7e-08,140.0,48.0,130.0,0.34,1.65e-05,369.0,874.0,3.0,0.0
29,3e-05,0.0002,0.018,0.0078,5e-07,0.0033,1180.0,76.752396,1158.4998,7140.0,120.0,-58.0,1.65,388.0,119.0,7.35,25.47,-2.21e-09,-1.45e-10,-1.58e-05,692.68,9.16e-06,1.1,0.00055,142.0,135.0,131.0,2.01,1.00205,3700.0,17.0,5.9e-08,70.0,43.0,108.0,0.25,3.02e-05,656.3978,412.0,2.5,0.85
30,1e-06,4e-06,0.00076,0.0019,3e-09,0.002999429,2673.0,69.171196,1443.4408,5904.0,29.0,41.0,1.81,371.0,256.0,5.59,25.86,-3e-09,-2.09e-10,-1.77e-05,302.9146,1.18e-05,2.9,0.0015,136.0,130.0,126.0,1.87,1.2709391,2740.0,7.1,1.4e-07,67.87973,28.240316,61.855377,0.32370275,0.00012,1189.8685,60.0,1.5,1.083
31,2e-05,2e-05,0.0021,0.00014,6e-09,0.007256107,3106.0,52.929203,1348.4861,5323.0,60.0,118.9352,2.01,321.4,334.0,31.8,23.222,-1.5e-09,-1.09e-10,-7.98e-06,1211.4,1.36e-05,2.2,0.0011,125.0,125.0,122.0,2.11,1.2590375,5400.0,0.002,0.0005,61.969933,20.29906,41.713844,0.29771033,6e-06,2774.228,482.901,6.0,0.0
32,8e-07,0.0036072133,0.00018,0.00021,2.3e-07,5e-06,887.0,37.88003,1346.8807,5727.0,50.0,77.65,2.18,328.0,32.4,27.7,24.64,-3.9e-09,-2.92e-10,-2.23e-05,1090.0,1.31e-05,4.2,0.002,114.0,115.0,119.0,1.85,1.001552,3514.526,3.3,3e-07,22.0,13.391827,8.0,0.2717415,5.9093263e-06,1819.8616,1440.0,3.5,0.0
33,3e-06,0.013708755,0.0013,5e-06,4.5e-08,5e-06,958.0,27.2,1766.0,4819.0,0.52,194.9587,2.55,321.2,26.0,5.4,25.363,-4e-09,-3.16e-10,-1.93e-05,494.0,1.64e-05,11.7,0.0056,103.0,115.0,116.0,1.9,1.000895,3350.0,0.8275,250002500000000.0,8.3,3.7,10.0,0.33,4.0952364e-06,937.33215,736.0,2.0,0.0
34,7e-07,0.006268532,0.00012,0.0003,0.0067,0.00029,332.0,10.34,588.0,3120.0,0.12,324.537,2.96,947.3,14.8,5.8,24.387482,-4.9e-09,-7.83e-10,-1.53e-05,265.8,2.56e-05,6.8,0.002,94.0,115.0,114.0,1.85,1.001132,1670.0734,1e-16,10000000000.0,1.9,2.4265058,6.5347195,0.11267224,1.8761093e-06,326.80423,213.0327,0.7446041,0.0
35,4e-06,0.005360699,0.0065929014,1.5e-08,2.1e-08,0.019131161,119.93,5.5,209.41,3.75,0.00943,-96.0,3.0,248.05,9.02,1.64,20.858871,-4.4e-09,-3.69e-10,-1.65e-08,115.78,0.02235,25.0,0.013,88.0,95.47046,110.0,2.02,1.000427,1120.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1e-06,3e-06,0.00032,0.006,1.2e-05,0.00046,961.0,16.0,2093.0,1532.0,58.0,46.884,0.82,364.0,72.0,2.19,31.06,2.6e-09,2.22e-10,3.98e-06,312.45,5.58e-05,0.38,0.0003,265.0,235.0,211.0,3.03,0.5604875,1300.0,8.3,1.2e-07,2.5,3.9620216,2.4,0.24273953,2.634673e-05,734.64465,0.216,0.3,0.0
37,4e-06,5e-06,0.00087,0.036,0.00081,0.00046,1650.0,17.38562,1883.5503,2630.0,35.0,5.023,0.95,300.0,137.0,8.0,26.4,1.32e-09,1.16e-10,3.47e-06,1050.0,3.33e-05,1.2,0.0005,219.0,200.0,192.0,2.49,0.5598179,2557.7778,7.7,1.3e-07,17.621687,6.1,24.942822,0.28,2.25e-05,874.8461,245.62083,1.5,0.0
38,7e-07,1e-06,0.00019,0.0029,1.3e-09,0.15797,3203.0,16.197758,1252.1265,4472.0,17.0,29.6,1.22,298.0,380.0,11.4,26.53,6.66e-08,5.92e-09,0.0002978,1799.0,1.99e-05,1.28,0.00059,212.0,180.0,162.0,2.32,0.41181242,3300.0,1.8,5.7e-07,41.0,26.0,64.0,0.24,1.06e-05,989.4314,589.0,3.7545877,1.3
39,5e-06,4e-06,0.00066,0.013,2.6e-09,5e-06,4650.0,16.680063,937.1395,6511.0,23.0,41.806,1.33,278.0,580.0,21.0,25.36,1.68e-08,1.53e-09,0.000109,2128.0,1.4e-05,0.184,0.00066,206.0,155.0,148.0,2.23,0.32115448,3800.0,2.4,4.2e-07,112.004265,33.0,68.0,0.34,5.7e-06,903.0,650.0,5.0,0.61
40,2e-07,4e-07,1.9e-05,0.0017,1e-10,0.00092092453,5017.0,20.361576,762.30505,8570.0,54.0,88.516,1.6,265.0,690.0,26.8,24.6,2.76e-08,2.56e-09,0.000237,2750.0,1.08e-05,1.15,0.0004,198.0,145.0,137.0,2.18,0.29738867,3480.0,6.7,1.5e-07,170.0,38.0,105.0,0.4,7.3e-06,1320.0,736.0,6.0,9.25
41,5e-07,9e-07,0.00012,0.00011,1e-06,1e-05,4912.0,25.468794,664.87964,10280.0,139.0,72.1,2.16,251.0,600.0,36.0,24.06,1.17e-08,1.12e-09,0.0001203,2896.0,9.33e-06,2.6,0.0009,190.0,145.0,145.0,2.17,0.29807556,6190.0,20.0,5e-08,230.0,120.0,329.0,0.31,4.8e-06,1530.0,1500.0,5.5,0.915
42,0.0,0.0,0.0,0.0,0.0,0.0,4538.0,34.91719,655.89,11500.0,51.0,53.0,1.9,63.0,550.0,23.0,24.27,3.42e-08,3.35e-09,0.0003933,2430.0,8.43e-06,22.0,0.006846004,183.0,135.0,156.0,2.16,0.35531485,5701.677,5.0,2e-07,239.64102,149.13419,366.90768,0.3006682,1.0614251e-05,1631.4036,1301.5803,6.482051,7.7
43,4e-07,5e-07,8.1e-05,9.9e-08,7e-11,0.002084249,4423.0,45.864418,700.974,12370.0,120.0,100.96,2.2,238.0,580.0,25.7,24.06,5.42e-09,5.48e-10,6.7e-05,2607.0,8.17e-06,2.6,0.0009,178.0,130.0,126.0,2.13,0.43147174,5970.0,14.0,7e-08,220.0,173.0,447.0,0.3,6.4e-06,1359.825,2160.0,6.5,0.49
44,6e-08,2e-07,1.8e-05,7e-08,2.3257607e-08,0.00067978597,3968.0,61.560867,827.18677,12450.0,150.0,110.27,2.28,240.0,495.0,21.7,24.98,1.36e-08,1.4e-09,0.0001693,2237.0,8.27e-06,145.0,0.063,173.0,135.0,135.0,2.1,0.5563929,4700.0,23.0,4.3e-08,380.0,150.0,275.0,0.26,8e-06,1246.0,1100.0,6.0,0.0
45,2e-07,3e-07,6.6e-05,6.3e-07,7.1594606e-08,0.00024022575,3236.0,78.25636,992.8391,12023.0,72.0,54.24,2.2,240.0,380.0,16.7,25.98,6.57e-08,6.99e-09,0.0007899,1828.05,8.85e-06,6.9,0.0023,169.0,140.0,131.0,2.1,0.6968199,3070.0,10.0,1e-07,180.0,44.0,121.0,0.39,1.18e-05,461.0,37.3,4.75,0.0
46,6e-08,1e-07,1.4e-05,7.9e-06,1e-08,0.00010892395,2435.0,97.57541,1213.8059,10490.0,430.0,125.862,1.93,235.0,255.0,11.3,25.35,-2.27e-09,-2.45e-10,-2.38e-05,1234.93,1.03e-05,63.6,0.02,165.0,160.0,153.0,2.11,0.86789894,2600.0,62.0,1.6e-08,100.0,30.0,83.0,0.37,1.89e-05,251.0,24.5,2.5,0.0
47,2e-07,6e-07,4.4e-05,1.5e-05,5e-09,7e-05,1040.0,111.24931,1418.0707,8650.0,97.0,-68.0,1.69,230.0,100.0,6.3,26.02,-2.3e-09,-2.59e-10,-1.99e-05,594.22,1.3e-05,2450.0,1.4,161.0,155.0,148.0,2.18,1.032599,2310.0,14.0,7e-08,42.0,19.0,50.0,0.3,3.08e-05,667.2112,203.0,2.0,0.517
48,3e-08,4e-07,4.4e-06,1.6e-05,1e-11,0.00084109703,2345.0,89.466934,1409.3514,7310.0,82.0,37.043,1.78,233.0,230.0,3.26,26.74,-1.4e-09,-1.61e-10,-1.02e-05,429.7485,1.57e-05,194.0,0.06,156.0,155.0,144.0,1.93,1.1132209,1215.0,12.0,8e-08,52.719933,17.01008,11.0,0.35842568,3.21e-05,1061.2263,8.83,1.2,3.41
49,4e-07,9e-07,0.00012,0.00022,1e-09,2e-05,2875.0,66.40646,1325.334,7310.0,67.0,107.2984,1.96,217.0,290.0,7.0,27.112,-3.1e-09,-3.68e-10,-2.27e-05,505.08,1.62e-05,0.62,0.0002,145.0,145.0,141.0,2.17,1.1135061,2500.0,9.1,1.1e-07,58.0,18.0,50.0,0.36,2.2e-05,1539.5096,51.0,1.5,3.72
50,4e-08,1e-07,1.2e-05,2e-05,2e-08,2.1071428e-05,1908.0,47.21806,1266.9252,6697.0,24.0,101.059,2.05,207.0,68.0,19.7,25.23,-1.09e-08,-1.33e-09,-7.3e-05,903.78,1.82e-05,5.4,0.0016,133.0,145.0,138.0,2.06,1.0372274,3420.0,2.5,4e-07,42.0,20.0,55.0,0.30201918,1.1e-05,1272.118,294.0,3.0,0.0
51,9e-07,0.004959521,0.00021,9.9e-08,1.5162501e-06,1.1517857e-05,1261.0,30.32833,1219.154,6240.0,3.0,190.161,2.1,201.0,48.0,17.5,25.73,-3.9e-09,-4.98e-10,-2.43e-05,722.66,2.04e-05,5.4,0.0013,123.0,140.0,135.0,2.06,1.000991,2610.0,0.01,1e-04,65.0,16.0,43.0,0.24633676,6.936323e-06,813.85895,180.0,2.25,0.0
52,1e-07,0.004375381,2.5e-05,4.9e-05,6e-06,2e-05,457.4,11.7,819.0,4940.0,0.449,295.1531,2.66,429.0,20.9,7.76,25.076881,-4.5e-09,-1.14e-09,-2.22e-05,386.85,2.57e-05,6.3,0.0018,115.0,140.0,133.0,1.98,1.0531913,1831.0463,1e-13,10000000.0,7.7,6.006028,16.138887,0.120689675,3.4093669e-06,370.39084,116.1309,0.9784168,0.0
53,1e-06,0.003653646,0.0024804552,2e-09,5e-10,0.007180675,165.051,5.841,289.77,5.9,0.00565,-77.0,2.6,158.32,12.64,2.3,21.428558,-4.3e-09,-5.65e-10,-2.54e-08,161.4,0.0223,25.0,0.0083,108.0,115.81967,130.0,2.16,1.000702,1090.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8e-08,8e-07,1.4e-05,0.00019,5e-08,2e-06,944.0,9.4,1938.0,1879.0,36.0,45.505,0.79,242.0,65.0,2.09,32.21,2.8e-09,3.72e-10,5.26e-06,301.7,7.07e-05,29.0,0.0077,298.0,260.0,225.0,3.43,0.41014746,1429.4314,5.0,2e-07,1.6,5.3033113,1.7,0.25360256,2.100159e-05,651.0294,0.14,0.2,0.0
55,1e-06,1e-06,0.00027,0.034,3e-06,3e-05,2118.0,11.887829,1833.8284,3510.0,18.0,13.954,0.89,205.0,140.0,8.0,28.07,1.13e-08,1.55e-09,3.97e-05,1000.0,3.91e-05,1.3,0.00027,253.0,215.0,198.0,2.68,0.4140544,1620.0,2.9,3.5e-07,9.6,4.9,13.0,0.29995868,2.06e-05,710.072,226.23395,1.25,0.0
56,2e-07,2e-07,2.8e-05,0.0034,3.4e-10,9.921745e-06,3737.0,7.930314,1285.0287,6146.0,13.0,53.0,1.1,195.0,400.0,6.2,27.11,1.1e-08,1.53e-09,6.76e-05,1193.0,2.26e-05,8.98,0.0023,231.224,195.0,169.0,2.43,0.24058276,2475.0,1.6,6.1e-07,28.0,14.0,37.0,0.28,1.21e-05,491.0,363.0,2.5,4.88
57,1e-06,4e-07,7.5e-05,0.006,1.2e-10,3.7844738e-06,3716.0,6.14777,1015.48975,6689.0,11.0,55.0,1.12,192.0,350.0,5.5,26.94,2.2e-07,3.08e-08,0.0014716,1068.0,2.09e-05,0.6,0.00021,238.15268,185.0,140.75243,2.42,0.16961047,2100.0,1.4,7.5e-07,22.0,14.0,34.0,0.24,6.3e-06,270.0,412.0,2.5,0.022
58,2e-07,1e-07,9.8e-06,0.00086,6e-11,1.4316776e-06,3403.0,4.711337,792.5409,6640.0,13.0,93.0,1.13,193.0,330.0,6.9,27.2,4.23e-07,5.96e-08,0.0028087,1208.0,2.12e-05,11.4,0.0029,247.0,185.0,116.57204,2.4,0.10928646,2280.0,1.4,7e-07,29.0,15.0,37.0,0.28,6.7e-06,400.0,481.0,3.84162,0.0
59,1e-06,3e-07,5e-05,0.0033,2.8e-10,5.105591e-07,3347.0,3.5078182,592.2726,7010.0,17.0,184.87,1.14,190.0,285.0,7.1,27.45,4.8e-07,6.92e-08,0.0033648,1297.0,2.06e-05,49.0,0.011,206.0,185.0,94.14758,2.39,0.07460923,2330.0,1.6,6.4e-07,32.0,16.0,41.0,0.28,9.6e-06,343.0,265.0,4.7505383,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,3273.0,2.6027923,443.07233,7264.0,15.0,12.45,1.13,181.99481,290.0,7.7,28.816666,2.2828746e-07,3.3822495e-08,0.0016977674,1315.0,2e-05,8400.0,2.133842,205.0,185.0,77.09978,2.38,0.044784114,2349.3748,1.3,7.5e-07,33.0,18.0,46.0,0.28,1.1e-05,609.1924,665.36847,4.44491,0.0
61,5e-07,1e-07,1.7e-05,0.0006,4.5e-11,6.0390307e-06,2173.0,1.8915246,316.21985,7353.0,13.0,15.63,1.17,196.0,175.0,8.6,29.54,1.11e-07,1.67e-08,0.00081618,1345.0,2.04e-05,5900.0,4.7,238.0,185.0,62.064415,2.36,0.030375516,2130.0,1.1,9.4e-07,38.0,20.0,50.0,0.27,1.27e-05,412.0,441.0,3.8445177,0.0
